  nu       n         k        t       tcal
       3179.8868       1.5495955      0.28878942      0.44139662      0.44139614
       3180.1279       1.5493129      0.28930641      0.44068676      0.44068628
       3180.3690       1.5489808      0.28981197      0.43999526      0.43999478
       3180.6101       1.5486365      0.29024342      0.43940399      0.43940351
       3180.8512       1.5483004      0.29068585      0.43879836      0.43879789
       3181.0923       1.5479438      0.29111365      0.43821375      0.43821327
       3181.3334       1.5476441      0.29138477      0.43783553      0.43783505
       3181.5745       1.5474485      0.29174647      0.43733275      0.43733227
       3181.8156       1.5472237      0.29231145      0.43656207      0.43656159
       3182.0567       1.5468936      0.29285921      0.43581984      0.43581936
       3182.2978       1.5465744      0.29320411      0.43534644      0.43534596
       3182.5389       1.5463236      0.29363839      0.43475241      0.43475193
       3182.7800       1.5460634      0.29413423      0.43407822      0.43407774
       3183.0211       1.5457878      0.29463572      0.43339810      0.43339762
       3183.2622       1.5454300      0.29526391      0.43255566      0.43255518
       3183.5033       1.5450325      0.29565012      0.43203407      0.43203359
       3183.7444       1.5447103      0.29604440      0.43149921      0.43149872
       3183.9855       1.5443345      0.29660529      0.43074872      0.43074824
       3184.2266       1.5439293      0.29690888      0.43033731      0.43033683
       3184.4677       1.5436827      0.29710292      0.43006292      0.43006244
       3184.7088       1.5434771      0.29764288      0.42933471      0.42933423
       3184.9499       1.5431761      0.29814336      0.42866300      0.42866252
       3185.1910       1.5428787      0.29853997      0.42812738      0.42812689
       3185.4321       1.5426124      0.29900429      0.42750284      0.42750235
       3185.6732       1.5423351      0.29950059      0.42683793      0.42683744
       3185.9143       1.5419984      0.30008706      0.42605925      0.42605877
       3186.1554       1.5415811      0.30058670      0.42539757      0.42539708
       3186.3965       1.5411990      0.30091053      0.42496288      0.42496240
       3186.6376       1.5408925      0.30128177      0.42446413      0.42446365
       3186.8787       1.5406174      0.30169498      0.42391033      0.42390985
       3187.1198       1.5403315      0.30219226      0.42324906      0.42324857
       3187.3609       1.5399938      0.30270308      0.42257325      0.42257276
       3187.6020       1.5396483      0.30313548      0.42199956      0.42199908
       3187.8431       1.5393147      0.30360210      0.42138202      0.42138154
       3188.0842       1.5389442      0.30412408      0.42069563      0.42069515
       3188.3254       1.5385087      0.30459885      0.42007322      0.42007274
       3188.5665       1.5380993      0.30489538      0.41967877      0.41967829
       3188.8076       1.5377626      0.30522655      0.41923738      0.41923690
       3189.0487       1.5374857      0.30553166      0.41882732      0.41882683
       3189.2898       1.5372691      0.30593815      0.41828568      0.41828520
       3189.5309       1.5369590      0.30657434      0.41745532      0.41745483
       3189.7720       1.5365724      0.30697220      0.41693274      0.41693226
       3190.0131       1.5362916      0.30728005      0.41652109      0.41652061
       3190.2542       1.5360034      0.30789776      0.41571625      0.41571576
       3190.4953       1.5355822      0.30844775      0.41500373      0.41500324
       3190.7364       1.5351456      0.30881123      0.41452908      0.41452859
       3190.9775       1.5347883      0.30912851      0.41411027      0.41410978
       3191.2186       1.5344580      0.30954203      0.41356902      0.41356854
       3191.4597       1.5341531      0.30988315      0.41311884      0.41311835
       3191.7008       1.5339015      0.31029558      0.41257699      0.41257650
       3191.9419       1.5336136      0.31087233      0.41183002      0.41182953
       3192.1830       1.5332084      0.31147499      0.41105601      0.41105552
       3192.4241       1.5327291      0.31192921      0.41047244      0.41047195
       3192.6652       1.5322880      0.31224072      0.41006717      0.41006668
       3192.9063       1.5319610      0.31249760      0.40972645      0.40972596
       3193.1474       1.5316512      0.31300281      0.40907412      0.40907363
       3193.3885       1.5312487      0.31346927      0.40847455      0.40847406
       3193.6296       1.5308609      0.31377804      0.40807219      0.40807170
       3193.8707       1.5305540      0.31409786      0.40765334      0.40765285
       3194.1118       1.5303061      0.31450003      0.40712990      0.40712941
       3194.3529       1.5299511      0.31518851      0.40625433      0.40625384
       3194.5940       1.5294548      0.31564354      0.40567571      0.40567522
       3194.8351       1.5289818      0.31595578      0.40527424      0.40527375
       3195.0762       1.5285697      0.31620682      0.40494683      0.40494634
       3195.3173       1.5283050      0.31633408      0.40476784      0.40476735
       3195.5584       1.5281337      0.31674614      0.40423229      0.40423180
       3195.7995       1.5278661      0.31732080      0.40349950      0.40349901
       3196.0406       1.5275608      0.31772752      0.40297676      0.40297627
       3196.2817       1.5272166      0.31832060      0.40222587      0.40222538
       3196.5228       1.5268183      0.31874251      0.40168906      0.40168857
       3196.7639       1.5264657      0.31913897      0.40118252      0.40118203
       3197.0050       1.5260930      0.31966340      0.40051981      0.40051932
       3197.2461       1.5257101      0.32004024      0.40003961      0.40003913
       3197.4872       1.5253356      0.32053893      0.39941006      0.39940957
       3197.7283       1.5248937      0.32103041      0.39879252      0.39879203
       3197.9694       1.5244439      0.32137282      0.39835842      0.39835793
       3198.2105       1.5240851      0.32165933      0.39798985      0.39798936
       3198.4516       1.5237483      0.32212569      0.39740104      0.39740055
       3198.6927       1.5233246      0.32262660      0.39677381      0.39677332
       3198.9338       1.5229107      0.32290613      0.39641675      0.39641626
       3199.1749       1.5225546      0.32330002      0.39591869      0.39591820
       3199.4160       1.5221844      0.32370167      0.39541214      0.39541165
       3199.6571       1.5218490      0.32403711      0.39498536      0.39498487
       3199.8982       1.5214871      0.32457978      0.39430837      0.39430788
       3200.1393       1.5210407      0.32500118      0.39378213      0.39378164
       3200.3804       1.5206624      0.32525967      0.39345131      0.39345082
       3200.6215       1.5203648      0.32566471      0.39294069      0.39294020
       3200.8626       1.5199479      0.32631307      0.39214077      0.39214028
       3201.1037       1.5194357      0.32664230      0.39173015      0.39172966
       3201.3448       1.5190522      0.32682951      0.39148669      0.39148620
       3201.5859       1.5187767      0.32718789      0.39103353      0.39103304
       3201.8270       1.5184497      0.32772775      0.39036422      0.39036372
       3202.0681       1.5179983      0.32826788      0.38969964      0.38969914
       3202.3092       1.5175276      0.32857598      0.38931488      0.38931439
       3202.5503       1.5171312      0.32888792      0.38892333      0.38892284
       3202.7914       1.5168022      0.32918598      0.38854650      0.38854601
       3203.0325       1.5164961      0.32963868      0.38798416      0.38798367
       3203.2736       1.5161142      0.33017921      0.38732007      0.38731958
       3203.5147       1.5156560      0.33064772      0.38674526      0.38674477
       3203.7558       1.5151415      0.33109222      0.38620154      0.38620105
       3203.9969       1.5146957      0.33124215      0.38600684      0.38600635
       3204.2380       1.5143893      0.33154498      0.38562573      0.38562523
       3204.4791       1.5140382      0.33204294      0.38501442      0.38501393
       3204.7202       1.5136872      0.33234008      0.38464226      0.38464177
       3204.9613       1.5133585      0.33286180      0.38400334      0.38400285
       3205.2025       1.5129121      0.33342678      0.38331781      0.38331732
       3205.4436       1.5124209      0.33381829      0.38283973      0.38283924
       3205.6847       1.5119471      0.33420698      0.38236488      0.38236439
       3205.9258       1.5114641      0.33458386      0.38190470      0.38190420
       3206.1669       1.5110409      0.33481371      0.38161637      0.38161588
       3206.4080       1.5106658      0.33522702      0.38111058      0.38111008
       3206.6491       1.5101685      0.33575444      0.38047489      0.38047440
       3206.8902       1.5096756      0.33589793      0.38029096      0.38029047
       3207.1313       1.5093318      0.33614175      0.37998460      0.37998411
       3207.3724       1.5089554      0.33659934      0.37942854      0.37942805
       3207.6135       1.5085494      0.33687738      0.37908448      0.37908398
       3207.8546       1.5082172      0.33717203      0.37871892      0.37871842
       3208.0957       1.5078755      0.33763433      0.37815775      0.37815725
       3208.3368       1.5074571      0.33808657      0.37761132      0.37761082
       3208.5779       1.5070044      0.33844804      0.37717248      0.37717199
       3208.8190       1.5066418      0.33866347      0.37690162      0.37690112
       3209.0601       1.5063391      0.33910867      0.37636133      0.37636084
       3209.3012       1.5058997      0.33972682      0.37562458      0.37562408
       3209.5423       1.5053790      0.34005460      0.37522866      0.37522816
       3209.7834       1.5049469      0.34031310      0.37491084      0.37491035
       3210.0245       1.5045950      0.34062747      0.37452602      0.37452553
       3210.2656       1.5041928      0.34115263      0.37389874      0.37389824
       3210.5067       1.5037461      0.34148851      0.37349260      0.37349210
       3210.7478       1.5033402      0.34187527      0.37302677      0.37302627
       3210.9889       1.5028203      0.34245942      0.37233683      0.37233634
       3211.2300       1.5022344      0.34265877      0.37209343      0.37209293
       3211.4711       1.5018782      0.34264584      0.37208829      0.37208779
       3211.7122       1.5016900      0.34300076      0.37165416      0.37165367
       3211.9533       1.5013250      0.34374238      0.37078060      0.37078010
       3212.1944       1.5008127      0.34413036      0.37031900      0.37031851
       3212.4355       1.5003417      0.34450679      0.36986991      0.36986941
       3212.6766       1.4998198      0.34498231      0.36930909      0.36930860
       3212.9177       1.4993098      0.34518508      0.36906087      0.36906037
       3213.1588       1.4988796      0.34551268      0.36866762      0.36866713
       3213.3999       1.4984167      0.34589141      0.36821714      0.36821664
       3213.6410       1.4979247      0.34620325      0.36784427      0.36784378
       3213.8821       1.4974498      0.34645005      0.36754541      0.36754491
       3214.1232       1.4970609      0.34659163      0.36736434      0.36736385
       3214.3643       1.4967784      0.34683883      0.36705995      0.36705945
       3214.6054       1.4965249      0.34722684      0.36659455      0.36659405
       3214.8465       1.4961584      0.34786056      0.36585332      0.36585282
       3215.0876       1.4956248      0.34836323      0.36526663      0.36526613
       3215.3287       1.4951359      0.34857351      0.36501104      0.36501054
       3215.5698       1.4947133      0.34897992      0.36453145      0.36453095
       3215.8109       1.4942418      0.34936811      0.36407428      0.36407378
       3216.0520       1.4937712      0.34969025      0.36369221      0.36369171
       3216.2931       1.4933216      0.35001401      0.36330803      0.36330753
       3216.5342       1.4928841      0.35035441      0.36290504      0.36290454
       3216.7753       1.4924209      0.35073231      0.36246076      0.36246026
       3217.0164       1.4919763      0.35099718      0.36214375      0.36214326
       3217.2575       1.4915593      0.35135306      0.36172373      0.36172323
       3217.4986       1.4911298      0.35170470      0.36130918      0.36130868
       3217.7397       1.4907183      0.35204693      0.36090508      0.36090459
       3217.9808       1.4902513      0.35254417      0.36032882      0.36032832
       3218.2219       1.4896884      0.35293699      0.35987278      0.35987228
       3218.4630       1.4891375      0.35314529      0.35962345      0.35962295
       3218.7041       1.4887432      0.35322499      0.35951416      0.35951366
       3218.9452       1.4884485      0.35357736      0.35909718      0.35909669
       3219.1863       1.4880337      0.35415185      0.35843549      0.35843499
       3219.4274       1.4875017      0.35455224      0.35797195      0.35797145
       3219.6685       1.4869590      0.35487811      0.35759217      0.35759167
       3219.9096       1.4864628      0.35510532      0.35732138      0.35732088
       3220.1507       1.4860109      0.35538832      0.35698749      0.35698699
       3220.3918       1.4855652      0.35568364      0.35663996      0.35663946
       3220.6329       1.4851613      0.35592477      0.35635184      0.35635134
       3220.8740       1.4847551      0.35634307      0.35586723      0.35586673
       3221.1151       1.4842671      0.35674976      0.35539802      0.35539752
       3221.3562       1.4837760      0.35701544      0.35508555      0.35508505
       3221.5973       1.4833136      0.35734680      0.35469985      0.35469935
       3221.8384       1.4828112      0.35769516      0.35429661      0.35429611
       3222.0796       1.4823063      0.35792692      0.35402261      0.35402211
       3222.3207       1.4818666      0.35809668      0.35381562      0.35381512
       3222.5618       1.4815519      0.35823784      0.35363725      0.35363675
       3222.8029       1.4813111      0.35862586      0.35318480      0.35318430
       3223.0440       1.4809012      0.35932858      0.35239034      0.35238984
       3223.2851       1.4803231      0.35976344      0.35189573      0.35189523
       3223.5262       1.4797792      0.36003454      0.35158068      0.35158018
       3223.7673       1.4793018      0.36034906      0.35121657      0.35121607
       3224.0084       1.4788025      0.36076267      0.35074461      0.35074410
       3224.2495       1.4781946      0.36120939      0.35023940      0.35023890
       3224.4906       1.4775727      0.36134911      0.35007089      0.35007039
       3224.7317       1.4771451      0.36135652      0.35004268      0.35004218
       3224.9728       1.4768171      0.36170863      0.34963508      0.34963458
       3225.2139       1.4762968      0.36229954      0.34897153      0.34897103
       3225.4550       1.4756754      0.36247352      0.34876589      0.34876539
       3225.6961       1.4752470      0.36245644      0.34876428      0.34876378
       3225.9372       1.4749494      0.36275678      0.34841352      0.34841302
       3226.1783       1.4745789      0.36322116      0.34788604      0.34788554
       3226.4194       1.4740267      0.36379141      0.34724820      0.34724769
       3226.6605       1.4734084      0.36399063      0.34701560      0.34701510
       3226.9016       1.4729234      0.36409656      0.34688139      0.34688089
       3227.1427       1.4725295      0.36434179      0.34659397      0.34659347
       3227.3838       1.4721233      0.36468130      0.34620473      0.34620423
       3227.6249       1.4716319      0.36510404      0.34572756      0.34572706
       3227.8660       1.4711693      0.36524969      0.34555008      0.34554958
       3228.1071       1.4707239      0.36569626      0.34504680      0.34504629
       3228.3482       1.4701850      0.36602038      0.34467835      0.34467784
       3228.5893       1.4697137      0.36616670      0.34450061      0.34450011
       3228.8304       1.4692660      0.36655639      0.34405985      0.34405935
       3229.0715       1.4687766      0.36681311      0.34376369      0.34376318
       3229.3126       1.4683303      0.36707476      0.34346145      0.34346095
       3229.5537       1.4679109      0.36737691      0.34311523      0.34311473
       3229.7948       1.4674439      0.36781647      0.34262259      0.34262209
       3230.0359       1.4669180      0.36816234      0.34223230      0.34223180
       3230.2770       1.4663904      0.36848831      0.34186371      0.34186320
       3230.5181       1.4658072      0.36889448      0.34141060      0.34141009
       3230.7592       1.4651740      0.36912318      0.34114892      0.34114841
       3231.0003       1.4646121      0.36922055      0.34102640      0.34102590
       3231.2414       1.4642023      0.36926067      0.34096202      0.34096151
       3231.4825       1.4638248      0.36963169      0.34054303      0.34054253
       3231.7236       1.4633213      0.37001892      0.34010969      0.34010918
       3231.9647       1.4628218      0.37017277      0.33992570      0.33992519
       3232.2058       1.4624090      0.37042684      0.33963309      0.33963259
       3232.4469       1.4619242      0.37087350      0.33913686      0.33913636
       3232.6880       1.4613573      0.37115371      0.33881997      0.33881946
       3232.9291       1.4608494      0.37130813      0.33863590      0.33863540
       3233.1702       1.4603642      0.37162180      0.33828209      0.33828158
       3233.4113       1.4598801      0.37181300      0.33805861      0.33805810
       3233.6524       1.4593945      0.37214920      0.33768129      0.33768079
       3233.8935       1.4588423      0.37243157      0.33736265      0.33736214
       3234.1346       1.4583383      0.37251962      0.33724926      0.33724875
       3234.3757       1.4579440      0.37269351      0.33704276      0.33704225
       3234.6168       1.4575406      0.37303589      0.33665805      0.33665754
       3234.8579       1.4570295      0.37343209      0.33621880      0.33621830
       3235.0990       1.4565577      0.37351638      0.33610889      0.33610838
       3235.3401       1.4561589      0.37387449      0.33570824      0.33570773
       3235.5812       1.4556467      0.37431720      0.33522083      0.33522032
       3235.8223       1.4550874      0.37456159      0.33494384      0.33494334
       3236.0634       1.4545472      0.37485237      0.33461777      0.33461726
       3236.3045       1.4539614      0.37513213      0.33430433      0.33430382
       3236.5456       1.4534040      0.37522627      0.33418581      0.33418530
       3236.7867       1.4530093      0.37524588      0.33414272      0.33414221
       3237.0278       1.4525992      0.37570074      0.33364222      0.33364171
       3237.2689       1.4520562      0.37596551      0.33334427      0.33334377
       3237.5100       1.4515985      0.37603136      0.33325372      0.33325321
       3237.7511       1.4511723      0.37637509      0.33287103      0.33287052
       3237.9922       1.4507353      0.37652817      0.33268866      0.33268815
       3238.2333       1.4503774      0.37678727      0.33239387      0.33239336
       3238.4744       1.4499800      0.37721935      0.33191891      0.33191840
       3238.7155       1.4494859      0.37765731      0.33144006      0.33143955
       3238.9567       1.4489317      0.37804355      0.33101677      0.33101626
       3239.1978       1.4483428      0.37839590      0.33062980      0.33062929
       3239.4389       1.4476591      0.37879786      0.33019310      0.33019259
       3239.6800       1.4470247      0.37876381      0.33020983      0.33020932
       3239.9211       1.4466007      0.37883869      0.33010948      0.33010897
       3240.1622       1.4461471      0.37925189      0.32965753      0.32965702
       3240.4033       1.4456136      0.37949917      0.32937983      0.32937932
       3240.6444       1.4450786      0.37978868      0.32905841      0.32905790
       3240.8855       1.4445168      0.38006174      0.32875472      0.32875421
       3241.1266       1.4439305      0.38032122      0.32846568      0.32846517
       3241.3677       1.4433310      0.38051299      0.32824718      0.32824667
       3241.6088       1.4427263      0.38067923      0.32805526      0.32805475
       3241.8499       1.4422338      0.38058991      0.32812627      0.32812576
       3242.0910       1.4419186      0.38069173      0.32799634      0.32799583
       3242.3321       1.4415213      0.38116580      0.32748243      0.32748192
       3242.5732       1.4409628      0.38148627      0.32713047      0.32712996
       3242.8143       1.4404589      0.38157843      0.32701374      0.32701323
       3243.0554       1.4400107      0.38187150      0.32668862      0.32668810
       3243.2965       1.4394908      0.38221219      0.32631572      0.32631521
       3243.5376       1.4389488      0.38242855      0.32607162      0.32607111
       3243.7787       1.4383548      0.38278615      0.32568293      0.32568242
       3244.0198       1.4377316      0.38286371      0.32558321      0.32558270
       3244.2609       1.4372458      0.38285761      0.32556747      0.32556696
       3244.5020       1.4368427      0.38301407      0.32538311      0.32538259
       3244.7431       1.4365132      0.38311479      0.32525501      0.32525450
       3244.9842       1.4361781      0.38358384      0.32474839      0.32474787
       3245.2253       1.4355788      0.38421525      0.32407983      0.32407931
       3245.4664       1.4348572      0.38437238      0.32390004      0.32389952
       3245.7075       1.4343063      0.38432324      0.32392913      0.32392861
       3245.9486       1.4339313      0.38442068      0.32380534      0.32380482
       3246.1897       1.4335757      0.38476947      0.32342382      0.32342330
       3246.4308       1.4330535      0.38532849      0.32283008      0.32282957
       3246.6719       1.4323066      0.38577124      0.32235915      0.32235863
       3246.9130       1.4315814      0.38572061      0.32239181      0.32239130
       3247.1541       1.4310725      0.38566766      0.32242373      0.32242322
       3247.3952       1.4306535      0.38579223      0.32227306      0.32227254
       3247.6363       1.4303049      0.38588963      0.32214916      0.32214864
       3247.8774       1.4299637      0.38628628      0.32171996      0.32171944
       3248.1185       1.4294109      0.38688403      0.32108942      0.32108891
       3248.3596       1.4287173      0.38714352      0.32080564      0.32080513
       3248.6007       1.4281101      0.38722741      0.32069929      0.32069877
       3248.8418       1.4275636      0.38745566      0.32044537      0.32044485
       3249.0829       1.4270037      0.38765423      0.32022188      0.32022136
       3249.3240       1.4264001      0.38793532      0.31991529      0.31991478
       3249.5651       1.4257659      0.38804248      0.31978567      0.31978515
       3249.8062       1.4252169      0.38805337      0.31975254      0.31975202
       3250.0473       1.4247545      0.38812987      0.31965169      0.31965117
       3250.2884       1.4243348      0.38825078      0.31950525      0.31950474
       3250.5295       1.4239279      0.38846797      0.31926110      0.31926058
       3250.7706       1.4235261      0.38869157      0.31901052      0.31901000
       3251.0117       1.4231188      0.38906024      0.31861337      0.31861285
       3251.2528       1.4225327      0.38966166      0.31798380      0.31798328
       3251.4939       1.4217446      0.39002534      0.31759745      0.31759693
       3251.7350       1.4209669      0.39007187      0.31753090      0.31753039
       3251.9761       1.4203300      0.38999481      0.31758721      0.31758669
       3252.2172       1.4198882      0.38990012      0.31765888      0.31765836
       3252.4583       1.4194331      0.39023904      0.31729337      0.31729285
       3252.6994       1.4188988      0.39034470      0.31716408      0.31716357
       3252.9405       1.4184028      0.39050855      0.31697572      0.31697520
       3253.1816       1.4178420      0.39077380      0.31668610      0.31668558
       3253.4227       1.4172995      0.39076634      0.31667079      0.31667027
       3253.6638       1.4168769      0.39084292      0.31656945      0.31656893
       3253.9049       1.4164431      0.39111877      0.31626782      0.31626730
       3254.1460       1.4159138      0.39137897      0.31598321      0.31598269
       3254.3871       1.4154309      0.39142711      0.31591118      0.31591066
       3254.6282       1.4150261      0.39165823      0.31565451      0.31565399
       3254.8693       1.4145237      0.39208075      0.31520711      0.31520659
       3255.1104       1.4139126      0.39236392      0.31490097      0.31490045
       3255.3515       1.4132692      0.39258292      0.31465961      0.31465909
       3255.5927       1.4126448      0.39267424      0.31454588      0.31454536
       3255.8338       1.4121504      0.39264253      0.31455385      0.31455333
       3256.0749       1.4116678      0.39296371      0.31420855      0.31420803
       3256.3160       1.4110960      0.39312298      0.31402628      0.31402576
       3256.5571       1.4106097      0.39316698      0.31395832      0.31395780
       3256.7982       1.4101421      0.39345808      0.31364329      0.31364277
       3257.0393       1.4095964      0.39372097      0.31335743      0.31335691
       3257.2804       1.4090164      0.39395663      0.31309923      0.31309871
       3257.5215       1.4083995      0.39417883      0.31285493      0.31285440
       3257.7626       1.4077772      0.39430918      0.31270225      0.31270172
       3258.0037       1.4071763      0.39441033      0.31257843      0.31257790
       3258.2448       1.4065990      0.39448227      0.31248344      0.31248291
       3258.4859       1.4061038      0.39444495      0.31249639      0.31249586
       3258.7270       1.4057162      0.39451998      0.31239639      0.31239586
       3258.9681       1.4053209      0.39480382      0.31208867      0.31208814
       3259.2092       1.4048019      0.39518627      0.31168435      0.31168383
       3259.4503       1.4041391      0.39550712      0.31134292      0.31134240
       3259.6914       1.4035338      0.39544171      0.31138451      0.31138398
       3259.9325       1.4031065      0.39553849      0.31126336      0.31126283
       3260.1736       1.4025541      0.39603560      0.31074632      0.31074580
       3260.4147       1.4018532      0.39617733      0.31058323      0.31058270
       3260.6558       1.4012907      0.39611707      0.31061899      0.31061846
       3260.8969       1.4008075      0.39633678      0.31037662      0.31037609
       3261.1380       1.4002053      0.39667795      0.31001521      0.31001468
       3261.3791       1.3994527      0.39690055      0.30977260      0.30977207
       3261.6202       1.3987819      0.39669889      0.30994883      0.30994830
       3261.8613       1.3983542      0.39655065      0.31007018      0.31006965
       3262.1024       1.3979787      0.39675608      0.30984108      0.30984056
       3262.3435       1.3974982      0.39702940      0.30954586      0.30954533
       3262.5846       1.3968944      0.39730871      0.30924594      0.30924541
       3262.8257       1.3963085      0.39729937      0.30923098      0.30923046
       3263.0668       1.3958084      0.39741327      0.30909359      0.30909306
       3263.3079       1.3952437      0.39764944      0.30883606      0.30883553
       3263.5490       1.3947297      0.39755575      0.30890362      0.30890309
       3263.7901       1.3943398      0.39772048      0.30871519      0.30871466
       3264.0312       1.3938269      0.39812678      0.30828969      0.30828916
       3264.2723       1.3931909      0.39833001      0.30806545      0.30806492
       3264.5134       1.3925738      0.39843071      0.30794205      0.30794152
       3264.7545       1.3920291      0.39847388      0.30787470      0.30787417
       3264.9956       1.3914602      0.39873034      0.30759764      0.30759711
       3265.2367       1.3908534      0.39876160      0.30754240      0.30754187
       3265.4778       1.3903663      0.39873936      0.30753886      0.30753833
       3265.7189       1.3898933      0.39896104      0.30729536      0.30729483
       3265.9600       1.3894295      0.39903141      0.30720056      0.30720003
       3266.2011       1.3889492      0.39939407      0.30681882      0.30681829
       3266.4422       1.3883131      0.39973897      0.30645591      0.30645538
       3266.6833       1.3876086      0.39991726      0.30625698      0.30625645
       3266.9244       1.3869148      0.39999105      0.30616039      0.30615986
       3267.1655       1.3863429      0.39990281      0.30622173      0.30622119
       3267.4066       1.3858210      0.40009761      0.30600534      0.30600480
       3267.6477       1.3852154      0.40028423      0.30579755      0.30579702
       3267.8888       1.3845735      0.40040410      0.30565535      0.30565482
       3268.1299       1.3838954      0.40050255      0.30553432      0.30553379
       3268.3710       1.3833163      0.40031559      0.30569195      0.30569142
       3268.6121       1.3829053      0.40030372      0.30567717      0.30567664
       3268.8532       1.3823801      0.40068571      0.30527764      0.30527711
       3269.0943       1.3817808      0.40064539      0.30529170      0.30529117
       3269.3354       1.3812967      0.40071647      0.30519611      0.30519558
       3269.5765       1.3807291      0.40102726      0.30486671      0.30486617
       3269.8176       1.3801114      0.40104651      0.30482249      0.30482195
       3270.0587       1.3795210      0.40120060      0.30464636      0.30464583
       3270.2998       1.3788806      0.40128161      0.30454186      0.30454133
       3270.5409       1.3783299      0.40116814      0.30462672      0.30462619
       3270.7820       1.3778598      0.40127614      0.30449488      0.30449435
       3271.0231       1.3772618      0.40156784      0.30418444      0.30418391
       3271.2642       1.3766086      0.40152153      0.30420406      0.30420352
       3271.5053       1.3760578      0.40146964      0.30422857      0.30422804
       3271.7464       1.3755809      0.40144462      0.30422647      0.30422594
       3271.9875       1.3751641      0.40147743      0.30416763      0.30416710
       3272.2286       1.3747160      0.40172925      0.30389531      0.30389478
       3272.4698       1.3741161      0.40201900      0.30358688      0.30358634
       3272.7109       1.3734775      0.40204547      0.30353516      0.30353462
       3272.9520       1.3729481      0.40201185      0.30354145      0.30354091
       3273.1931       1.3723905      0.40224589      0.30328714      0.30328661
       3273.4342       1.3718274      0.40216999      0.30333463      0.30333410
       3273.6753       1.3714066      0.40218167      0.30329622      0.30329569
       3273.9164       1.3709012      0.40257949      0.30288237      0.30288184
       3274.1575       1.3702185      0.40277209      0.30266904      0.30266850
       3274.3986       1.3695758      0.40273070      0.30268298      0.30268244
       3274.6397       1.3690411      0.40271967      0.30266695      0.30266641
       3274.8808       1.3685497      0.40281524      0.30254710      0.30254656
       3275.1219       1.3679876      0.40306439      0.30227832      0.30227778
       3275.3630       1.3673660      0.40315239      0.30216628      0.30216574
       3275.6041       1.3667826      0.40323302      0.30206124      0.30206070
       3275.8452       1.3661347      0.40346138      0.30181304      0.30181250
       3276.0863       1.3654223      0.40348781      0.30176092      0.30176038
       3276.3274       1.3648126      0.40334050      0.30187698      0.30187644
       3276.5685       1.3642718      0.40338991      0.30180192      0.30180138
       3276.8096       1.3637211      0.40340635      0.30175884      0.30175830
       3277.0507       1.3631781      0.40345996      0.30167964      0.30167910
       3277.2918       1.3626046      0.40356800      0.30154769      0.30154714
       3277.5329       1.3620132      0.40359369      0.30149561      0.30149507
       3277.7740       1.3613955      0.40368953      0.30137554      0.30137500
       3278.0151       1.3608011      0.40356406      0.30146993      0.30146939
       3278.2562       1.3603614      0.40344750      0.30155532      0.30155478
       3278.4973       1.3599121      0.40368449      0.30129783      0.30129729
       3278.7384       1.3592894      0.40393321      0.30102946      0.30102892
       3278.9795       1.3586124      0.40394153      0.30099411      0.30099357
       3279.2206       1.3579712      0.40391751      0.30098995      0.30098941
       3279.4617       1.3573970      0.40379029      0.30108561      0.30108507
       3279.7028       1.3569537      0.40365423      0.30118962      0.30118908
       3279.9439       1.3565205      0.40383642      0.30098510      0.30098456
       3280.1850       1.3559357      0.40405168      0.30074887      0.30074832
       3280.4261       1.3553449      0.40400442      0.30076687      0.30076633
       3280.6672       1.3547277      0.40420382      0.30054603      0.30054549
       3280.9083       1.3540376      0.40412368      0.30059586      0.30059532
       3281.1494       1.3535737      0.40375370      0.30092620      0.30092566
       3281.3905       1.3532435      0.40388537      0.30077034      0.30076979
       3281.6316       1.3527461      0.40419158      0.30044571      0.30044516
       3281.8727       1.3521530      0.40428409      0.30032812      0.30032758
       3282.1138       1.3515369      0.40445014      0.30013939      0.30013885
       3282.3549       1.3508359      0.40457758      0.29998808      0.29998753
       3282.5960       1.3500988      0.40452133      0.30001433      0.30001378
       3282.8371       1.3495093      0.40420421      0.30029286      0.30029231
       3283.0782       1.3491102      0.40404913      0.30041458      0.30041403
       3283.3193       1.3486658      0.40423619      0.30020505      0.30020451
       3283.5604       1.3481959      0.40416037      0.30024999      0.30024944
       3283.8015       1.3477336      0.40438730      0.30000190      0.30000135
       3284.0426       1.3470901      0.40466200      0.29970777      0.29970722
       3284.2837       1.3464198      0.40456963      0.29976850      0.29976796
       3284.5248       1.3458202      0.40459428      0.29971605      0.29971550
       3284.7659       1.3451566      0.40462670      0.29965602      0.29965547
       3285.0070       1.3446184      0.40427297      0.29996943      0.29996889
       3285.2481       1.3442928      0.40419551      0.30001571      0.30001517
       3285.4892       1.3438339      0.40458325      0.29961186      0.29961131
       3285.7303       1.3431776      0.40470605      0.29946426      0.29946371
       3285.9714       1.3425189      0.40467965      0.29946081      0.29946026
       3286.2125       1.3419697      0.40451845      0.29958771      0.29958717
       3286.4536       1.3415111      0.40452920      0.29954840      0.29954785
       3286.6947       1.3409247      0.40480368      0.29925402      0.29925347
       3286.9358       1.3402352      0.40473421      0.29929193      0.29929137
       3287.1769       1.3397040      0.40449158      0.29949736      0.29949681
       3287.4180       1.3392688      0.40451787      0.29944289      0.29944234
       3287.6591       1.3387540      0.40465452      0.29928159      0.29928104
       3287.9002       1.3382230      0.40464281      0.29926367      0.29926312
       3288.1413       1.3376844      0.40478713      0.29909489      0.29909434
       3288.3824       1.3370553      0.40492909      0.29892828      0.29892772
